Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,Agilent Technologies,99.9,0.88,0.89%,99.93,98.54,866211,8/28/20
AAL,American Airlines Gp,13.59,0.31,2.33%,13.63,13.23,54516301,8/28/20
AAP,Advance Auto Parts Inc,154.77,0.05,0.03%,155.59,153.13,611633,8/28/20
AAPL,Apple Inc,499.23,-0.81,-0.16%,505.77,498.31,46907402,8/28/20
ABBV,Abbvie Inc,94.17,-0.13,-0.14%,94.65,93.53,4938715,8/28/20
ABC,Amerisourcebergen Corp,97.55,-0.58,-0.59%,98.56,97.24,687940,8/28/20
ABMD,Abiomed Inc,303.04,-8.06,-2.59%,312.28,301.36,278600,8/28/20
ABT,Abbott Laboratories,110.79,-0.5,-0.45%,114.19,109.4,17203952,8/28/20
ACN,Accenture Plc,242.99,2.12,0.88%,243.22,240.26,1212222,8/28/20
ADBE,Adobe Systems Inc,516.44,6.12,1.20%,518.8,510.94,1926200,8/28/20
ADI,Analog Devices,119.58,0.54,0.45%,119.62,118.29,2123100,8/28/20
ADM,Archer Daniels Midland,44.9,0.18,0.40%,44.97,44.27,2279087,8/28/20
ADP,Automatic Data Procs,141.34,0.33,0.23%,141.44,139.38,1079500,8/28/20
ADSK,Autodesk Inc,247.39,4.28,1.76%,250.5,244.85,999000,8/28/20
AEE,Ameren Corp,78.66,-0.27,-0.34%,79.39,78.03,735577,8/28/20
AEP,American Electric Power Company,78.35,-0.02,-0.03%,78.44,77.32,2894275,8/28/20
AES,The Aes Corp,17.9,-0.01,-0.06%,17.96,17.57,4775013,8/28/20
AFL,Aflac Incorporated,37.13,0.25,0.68%,37.23,36.68,3101982,8/28/20
AIG,American International Group,29.37,-0.31,-1.04%,30.12,29.23,6036638,8/28/20
AIV,Apartment Investment and Management,36.38,0.26,0.72%,36.39,35.66,888662,8/28/20
AIZ,Assurant Inc,122.68,-0.35,-0.28%,124.42,122.39,317611,8/28/20
AJG,Arthur J. Gallagher & Company,105.05,-0.95,-0.90%,106.53,104.39,674652,8/28/20
AKAM,Akamai Technologies,115.63,1.57,1.38%,117.84,114.44,2028400,8/28/20
ALB,Albemarle Corp,92.32,1.19,1.31%,92.37,90.47,411999,8/28/20
ALGN,Align Technology,300.58,-5.06,-1.66%,306.24,299.8,418700,8/28/20
ALK,Alaska Air Group,40.73,2.23,5.79%,40.74,38.56,3823804,8/28/20
ALL,Allstate Corp,94.3,0.17,0.18%,94.89,93.65,2976189,8/28/20
ALLE,Allegion Plc,104,0.76,0.74%,104.87,102.17,622821,8/28/20
ALXN,Alexion Pharm Inc,106.99,0.88,0.83%,107.08,104.75,1065100,8/28/20
AMAT,Applied Materials,63.07,1.04,1.68%,63.1,61.97,5206000,8/28/20
AMCR,Amcor Plc,11.25,0.18,1.63%,11.26,11.03,3691662,8/28/20
AMD,Adv Micro Devices,85.55,1.75,2.09%,86.04,84.19,40723199,8/28/20
AME,Amtek Inc,101.93,1.02,1.01%,101.98,100.67,696907,8/28/20
AMGN,Amgen Inc,253.12,0.31,0.12%,254.14,247.79,12838400,8/28/20
AMP,Ameriprise Financial Services,158.89,-0.21,-0.13%,160.02,156.96,498893,8/28/20
AMT,American Tower Corp,249.59,1.62,0.65%,249.73,245.41,1062982,8/28/20
AMZN,Amazon.com Inc,3401.8,1.8,0.05%,3433.37,3386.5,2896900,8/28/20
ANET,Arista Networks Inc,222.04,-0.14,-0.06%,225.36,220.13,548757,8/28/20
ANSS,Ansys Inc,336.71,4.37,1.31%,336.72,332.26,626400,8/28/20
ANTM,Anthem Inc,277.28,2.69,0.98%,279.01,271.86,643374,8/28/20
AON,AON Plc,200.11,0.53,0.27%,201.23,198.61,1280424,8/28/20
AOS,Smith [A.O.] Corp,49.36,0.16,0.33%,49.44,48.85,780562,8/28/20
APA,Apache Corp,15.05,0.44,3.05%,15.08,14.5,6731700,8/28/20
APD,Air Products and Chemicals,296.76,4.01,1.37%,297.11,293.16,502700,8/28/20
APH,Amphenol Corp,109.78,1.68,1.55%,109.95,107.73,1076306,8/28/20
APTV,Aptiv Plc,87.25,1.91,2.24%,87.32,85.15,1327947,8/28/20
ARE,Alexandria Real Estate Equities,169.71,-0.81,-0.48%,171.56,167.64,461051,8/28/20
ATO,Atmos Energy Corp,99.58,0.6,0.61%,99.65,98.06,582371,8/28/20
ATVI,Activision Blizzard,83.21,-0.69,-0.82%,84.03,82.31,4646700,8/28/20
AVB,Avalonbay Communities,159.62,1.17,0.74%,160.13,156.83,839659,8/28/20
AVGO,Broadcom Ltd,344.82,5.68,1.67%,344.82,337.7,1458800,8/28/20
AVY,Avery Dennison Corp,118.18,1.89,1.63%,118.36,115.42,314471,8/28/20
AWK,American Water Works,140.79,-0.58,-0.41%,141.14,138.85,773425,8/28/20
AXP,American Express Company,102.54,1.01,0.99%,102.9,100.74,4382870,8/28/20
AZO,Autozone,1189.12,-6.77,-0.57%,1199.71,1178.79,152613,8/28/20
BA,Boeing Company,175.8,1.6,0.92%,177.28,172.57,20383897,8/28/20
BAC,Bank of America Corp,26.3,0.25,0.96%,26.47,25.99,46466386,8/28/20
BAX,Baxter International Inc,86.03,0,0.00%,86.47,84.86,2516443,8/28/20
BBY,Best Buy Company,111.23,0.01,0.01%,111.7,110.11,2366570,8/28/20
BDX,Becton Dickinson and Company,242.8,-3.77,-1.53%,247.38,240.9,1914485,8/28/20
BEN,Franklin Resources,21.33,-0.02,-0.09%,21.52,21.06,2000836,8/28/20
BF.B,Brown Forman Inc Cl B,73.6,0.7,0.96%,73.61,72.15,448756,8/28/20
BIIB,Biogen Inc,281.46,2.2,0.79%,281.77,278.89,814300,8/28/20
BIO,Bio-Rad Laboratories,498.84,1.69,0.34%,499.77,490.82,175561,8/28/20
BK,Bank of New York Mellon Corp,37.56,0.01,0.03%,37.72,37.22,3139023,8/28/20
BKNG,Booking Holdings Inc,1945.25,51.75,2.73%,1955.6,1895.23,320700,8/28/20
BKR,Baker Hughes A Ge Co. Cl A,14.8,0.07,0.48%,14.91,14.65,4372600,8/28/20
BLK,Blackrock,601.06,6.08,1.02%,601.31,592.09,436069,8/28/20
BLL,Ball Corp,80.27,0.93,1.17%,80.54,78.68,1460033,8/28/20
BMY,Bristol-Myers Squibb Company,62.37,-0.14,-0.22%,62.59,61.85,6380448,8/28/20
BR,Broadridge Financial Solutions Llc,138.47,-0.34,-0.24%,139.59,137.98,267936,8/28/20
