Symbol,Name,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg
A,Agilent Technologies,99.9,43.6,17.10%,4.83%,15.24%,42.84%
AAL,American Airlines Gp,13.59,-57.8,-52.62%,15.46%,23.77%,-46.35%
AAP,Advance Auto Parts Inc,154.77,26.2,-3.37%,5.87%,11.80%,13.17%
AAPL,Apple Inc,499.23,155.1,70.01%,33.84%,56.87%,142.90%
ABBV,Abbvie Inc,94.17,35.6,6.36%,-2.63%,4.60%,42.53%
ABC,Amerisourcebergen Corp,97.55,17.9,14.74%,-4.47%,3.34%,20.42%
ABMD,Abiomed Inc,303.04,81.5,77.64%,2.76%,39.42%,58.49%
ABT,Abbott Laboratories,110.79,39.6,27.55%,10.95%,20.29%,31.55%
ACN,Accenture Plc,242.99,32.3,15.40%,9.37%,20.49%,23.45%
ADBE,Adobe Systems Inc,516.44,94.9,56.59%,19.47%,35.97%,83.05%
ADI,Analog Devices,119.58,10.8,0.62%,3.60%,7.77%,10.69%
ADM,Archer Daniels Midland,44.9,20.4,-3.13%,5.42%,15.13%,19.51%
ADP,Automatic Data Procs,141.34,-14.2,-17.10%,-3.62%,-2.39%,-15.48%
ADSK,Autodesk Inc,247.39,75.2,34.85%,5.46%,22.09%,76.61%
AEE,Ameren Corp,78.66,3.2,2.42%,-1.27%,6.38%,3.84%
AEP,American Electric Power Company,78.35,-17.1,-17.10%,-7.54%,-7.93%,-12.59%
AES,The Aes Corp,17.9,24.2,-10.05%,17.76%,38.87%,20.46%
AFL,Aflac Incorporated,37.13,-30.5,-29.81%,2.31%,1.37%,-24.41%
AIG,American International Group,29.37,-41.1,-42.78%,-5.11%,-5.62%,-44.00%
AIV,Apartment Investment and Management,36.38,-19.2,-29.56%,-1.65%,-2.15%,-28.07%
AIZ,Assurant Inc,122.68,3,-6.41%,15.76%,18.54%,1.35%
AJG,Arthur J. Gallagher & Company,105.05,20.2,10.31%,1.24%,11.76%,19.51%
AKAM,Akamai Technologies,115.63,34.9,33.86%,3.25%,12.36%,31.11%
ALB,Albemarle Corp,92.32,48,26.40%,10.30%,21.59%,55.63%
ALGN,Align Technology,300.58,64.4,7.72%,0.49%,20.63%,69.52%
ALK,Alaska Air Group,40.73,-21.2,-39.88%,16.37%,18.20%,-30.66%
ALL,Allstate Corp,94.3,-10.6,-16.14%,2.20%,-4.03%,-7.92%
ALLE,Allegion Plc,104,10.9,-16.49%,5.57%,4.09%,10.30%
ALXN,Alexion Pharm Inc,106.99,6,-1.07%,1.69%,-6.49%,-3.85%
AMAT,Applied Materials,63.07,38.8,3.33%,1.24%,15.36%,37.41%
AMCR,Amcor Plc,11.25,31.3,3.78%,5.04%,12.50%,15.86%
AMD,Adv Micro Devices,85.55,172.6,86.55%,26.53%,65.35%,177.94%
AME,Amtek Inc,101.93,22.2,2.20%,10.70%,10.94%,21.19%
AMGN,Amgen Inc,253.12,23.2,5.00%,-0.84%,12.93%,21.97%
AMP,Ameriprise Financial Services,158.89,11.7,-4.62%,3.14%,10.62%,26.25%
AMT,American Tower Corp,249.59,9.1,8.60%,-6.45%,-3.30%,8.45%
AMZN,Amazon.com Inc,3401.8,109.9,84.10%,13.38%,41.68%,92.82%
ANET,Arista Networks Inc,222.04,4.9,9.16%,-7.81%,-0.39%,-0.20%
ANSS,Ansys Inc,336.71,66.6,30.81%,12.91%,22.40%,64.94%
ANTM,Anthem Inc,277.28,19.9,-8.19%,4.54%,-4.84%,9.25%
AON,AON Plc,200.11,-1,-3.93%,-2.74%,0.71%,5.02%
AOS,Smith [A.O.] Corp,49.36,9.5,3.61%,-5.51%,5.95%,9.47%
APA,Apache Corp,15.05,11.2,-41.21%,12.95%,26.75%,-30.44%
APD,Air Products and Chemicals,296.76,40.5,26.29%,2.59%,23.30%,31.43%
APH,Amphenol Corp,109.78,27.4,1.43%,5.34%,15.13%,28.86%
APTV,Aptiv Plc,87.25,7.3,-8.13%,6.18%,18.50%,5.53%
ARE,Alexandria Real Estate Equities,169.71,12.8,5.03%,-2.35%,9.39%,15.13%
ATO,Atmos Energy Corp,99.58,-10.6,-10.98%,-4.80%,-2.07%,-8.03%
ATVI,Activision Blizzard,83.21,67.1,40.04%,3.08%,18.50%,65.72%
AVB,Avalonbay Communities,159.62,-17.8,-23.88%,6.24%,0.37%,-23.79%
AVGO,Broadcom Ltd,344.82,28.4,9.11%,12.19%,21.78%,24.91%
AVY,Avery Dennison Corp,118.18,-1.1,-9.66%,0.49%,5.34%,3.95%
AWK,American Water Works,140.79,16.5,14.60%,-3.14%,13.80%,11.70%
AXP,American Express Company,102.54,-12.8,-17.63%,8.60%,4.57%,-13.90%
AZO,Autozone,1189.12,24,-0.18%,1.97%,3.62%,8.33%
BA,Boeing Company,175.8,-46.7,-46.03%,2.90%,17.34%,-51.16%
BAC,Bank of America Corp,26.3,-9.3,-25.33%,7.96%,5.79%,-2.05%
BAX,Baxter International Inc,86.03,-1.3,2.88%,-3.62%,-2.46%,-1.04%
BBY,Best Buy Company,111.23,77.6,26.69%,14.45%,45.53%,61.20%
BDX,Becton Dickinson and Company,242.8,-6.2,-10.73%,-11.06%,0.54%,-4.04%
BEN,Franklin Resources,21.33,-16.5,-17.90%,3.75%,12.80%,-17.96%
BF.B,Brown Forman Inc Cl B,73.6,27.1,8.88%,7.74%,11.53%,25.06%
BIIB,Biogen Inc,281.46,4.3,-5.15%,0.40%,-6.34%,27.32%
BIO,Bio-Rad Laboratories,498.84,50.1,34.81%,-4.39%,4.55%,48.86%
BK,Bank of New York Mellon Corp,37.56,-12.6,-25.37%,4.13%,-0.08%,-8.50%
BKNG,Booking Holdings Inc,1945.25,7.3,-5.28%,15.67%,17.97%,0.17%
BKR,Baker Hughes A Ge Co. Cl A,14.8,-31.4,-42.26%,-6.74%,-9.70%,-31.61%
BLK,Blackrock,601.06,40.9,19.57%,5.32%,11.96%,45.24%
BLL,Ball Corp,80.27,10,24.12%,8.36%,13.78%,1.26%
BMY,Bristol-Myers Squibb Company,62.37,24.3,-2.84%,4.95%,4.28%,28.18%
BR,Broadridge Financial Solutions Llc,138.47,15.6,12.09%,4.47%,16.11%,7.69%
BRK.B,Berkshire Hathaway Cl B,218.55,11,-3.51%,12.59%,18.07%,9.03%
BSX,Boston Scientific Corp,41.03,0.9,-9.27%,7.21%,9.50%,-3.44%
BWA,Borgwarner Inc,41.43,32.3,-4.50%,7.61%,29.07%,30.20%
BXP,Boston Properties,88.94,-28.3,-35.49%,-2.40%,1.34%,-29.77%
C,Citigroup Inc,52.28,-21.4,-34.56%,1.97%,6.35%,-16.16%
CAG,Conagra Brands Inc,38.16,35.4,11.45%,2.33%,12.53%,34.13%
CAH,Cardinal Health,50.5,9.5,-0.16%,-10.75%,-7.12%,20.99%
CARR,Carrier Global Corporation [Carr/I],30.3,N/A,152.50%,16.23%,54.59%,152.50%
CAT,Caterpillar Inc,143.63,22.6,-2.74%,4.06%,18.96%,25.05%
CB,Chubb Ltd,126.39,-18,-18.80%,-4.22%,2.17%,-19.50%
CBOE,CBOE Global Markets Inc,91.75,-23.7,-23.54%,4.94%,-10.60%,-23.52%
CBRE,CBRE Group Inc,47.85,-10.3,-21.93%,14.34%,8.45%,-4.51%
CCI,Crown Castle International Corp,163.79,13.9,15.22%,-4.65%,-2.96%,11.84%
CCL,Carnival Corp,17.21,-43.4,-66.14%,20.10%,8.04%,-60.35%
CDNS,Cadence Design Sys,110.86,76.5,59.83%,6.54%,25.89%,65.91%
CDW,CDW Corp,115.34,-2.2,-19.25%,1.31%,5.19%,3.23%
CE,Celanese Corp,103.94,-6.8,-15.58%,11.49%,12.56%,-5.11%
CERN,Cerner Corp,72.8,6.4,-0.80%,2.33%,2.72%,6.15%
CF,Cf Industries Holdings,33.21,-22,-30.44%,9.89%,13.58%,-29.80%
CFG,Citizens Financial Group Inc/Ri,26.29,-23.2,-35.26%,8.73%,6.61%,-19.99%
CHD,Church & Dwight Company,94.91,32.3,34.93%,7.60%,28.19%,18.22%
CHRW,C.H. Robinson Ww,98.73,30.9,26.25%,13.29%,22.10%,18.71%
CHTR,Charter Communicatio,615.64,52.8,26.92%,9.66%,15.14%,53.72%
CI,Cigna Corp,181.15,11.5,-11.41%,3.07%,-9.68%,22.86%
CINF,Cincinnati Financial,80.39,-22.7,-23.55%,-3.61%,32.72%,-27.64%
CL,Colgate-Palmolive Company,79.37,12.9,15.30%,4.83%,10.10%,7.26%
